"segment [position] = [Nort West],    [Nort East],    [South East],    [South West]"

"segment:  0, 30 =     20.807 -103.513,    20.807 -103.50339062894,    20.798016527492 -103.50339062894,    20.798016527492 -103.513"
"segment:  0, 30 =     20.807 -103.50339062894,    20.807 -103.49378125789,    20.798016527492 -103.49378125789,    20.798016527492 -103.50339062894"
"segment:  0, 30 =     20.807 -103.49378125789,    20.807 -103.48417188683,    20.798016527492 -103.48417188683,    20.798016527492 -103.49378125789"
"segment:  0, 30 =     20.807 -103.48417188683,    20.807 -103.47456251577,    20.798016527492 -103.47456251577,    20.798016527492 -103.48417188683"
"segment:  0, 30 =     20.807 -103.47456251577,    20.807 -103.46495314472,    20.798016527492 -103.46495314472,    20.798016527492 -103.47456251577"
"segment:  0, 30 =     20.807 -103.46495314472,    20.807 -103.45534377366,    20.798016527492 -103.45534377366,    20.798016527492 -103.46495314472"
"segment:  0, 30 =     20.807 -103.45534377366,    20.807 -103.4457344026,    20.798016527492 -103.4457344026,    20.798016527492 -103.45534377366"
"segment:  0, 30 =     20.807 -103.4457344026,    20.807 -103.43612503155,    20.798016527492 -103.43612503155,    20.798016527492 -103.4457344026"
"segment:  0, 30 =     20.807 -103.43612503155,    20.807 -103.42651566049,    20.798016527492 -103.42651566049,    20.798016527492 -103.43612503155"
"segment:  0, 30 =     20.807 -103.42651566049,    20.807 -103.41690628943,    20.798016527492 -103.41690628943,    20.798016527492 -103.42651566049"
"segment:  0, 30 =     20.807 -103.41690628943,    20.807 -103.40729691837,    20.798016527492 -103.40729691837,    20.798016527492 -103.41690628943"
"segment:  0, 30 =     20.807 -103.40729691837,    20.807 -103.39768754732,    20.798016527492 -103.39768754732,    20.798016527492 -103.40729691837"
"segment:  0, 30 =     20.807 -103.39768754732,    20.807 -103.38807817626,    20.798016527492 -103.38807817626,    20.798016527492 -103.39768754732"
"segment:  0, 30 =     20.807 -103.38807817626,    20.807 -103.3784688052,    20.798016527492 -103.3784688052,    20.798016527492 -103.38807817626"
"segment:  0, 30 =     20.807 -103.3784688052,    20.807 -103.36885943415,    20.798016527492 -103.36885943415,    20.798016527492 -103.3784688052"
"segment:  0, 30 =     20.807 -103.36885943415,    20.807 -103.35925006309,    20.798016527492 -103.35925006309,    20.798016527492 -103.36885943415"
"segment:  0, 30 =     20.807 -103.35925006309,    20.807 -103.34964069203,    20.798016527492 -103.34964069203,    20.798016527492 -103.35925006309"
"segment:  0, 30 =     20.807 -103.34964069203,    20.807 -103.34003132098,    20.798016527492 -103.34003132098,    20.798016527492 -103.34964069203"
"segment:  0, 30 =     20.807 -103.34003132098,    20.807 -103.33042194992,    20.798016527492 -103.33042194992,    20.798016527492 -103.34003132098"
"segment:  0, 30 =     20.807 -103.33042194992,    20.807 -103.32081257886,    20.798016527492 -103.32081257886,    20.798016527492 -103.33042194992"
"segment:  0, 30 =     20.807 -103.32081257886,    20.807 -103.31120320781,    20.798016527492 -103.31120320781,    20.798016527492 -103.32081257886"
"segment:  0, 30 =     20.807 -103.31120320781,    20.807 -103.30159383675,    20.798016527492 -103.30159383675,    20.798016527492 -103.31120320781"
"segment:  0, 30 =     20.807 -103.30159383675,    20.807 -103.29198446569,    20.798016527492 -103.29198446569,    20.798016527492 -103.30159383675"
"segment:  0, 30 =     20.807 -103.29198446569,    20.807 -103.28237509464,    20.798016527492 -103.28237509464,    20.798016527492 -103.29198446569"
"segment:  0, 30 =     20.807 -103.28237509464,    20.807 -103.27276572358,    20.798016527492 -103.27276572358,    20.798016527492 -103.28237509464"
"segment:  0, 30 =     20.807 -103.27276572358,    20.807 -103.26315635252,    20.798016527492 -103.26315635252,    20.798016527492 -103.27276572358"
"segment:  0, 30 =     20.807 -103.26315635252,    20.807 -103.25354698147,    20.798016527492 -103.25354698147,    20.798016527492 -103.26315635252"
"segment:  0, 30 =     20.807 -103.25354698147,    20.807 -103.24393761041,    20.798016527492 -103.24393761041,    20.798016527492 -103.25354698147"
"segment:  0, 30 =     20.807 -103.24393761041,    20.807 -103.23432823935,    20.798016527492 -103.23432823935,    20.798016527492 -103.24393761041"
"segment:  0, 30 =     20.807 -103.23432823935,    20.807 -103.2247188683,    20.798016527492 -103.2247188683,    20.798016527492 -103.23432823935"


"segment:  1, 30 =     20.798016527492 -103.513,    20.798016527492 -103.50339120106,    20.78903305511 -103.50339120106,    20.78903305511 -103.513"
"segment:  1, 30 =     20.798016527492 -103.50339120106,    20.798016527492 -103.49378240212,    20.78903305511 -103.49378240212,    20.78903305511 -103.50339120106"
"segment:  1, 30 =     20.798016527492 -103.49378240212,    20.798016527492 -103.48417360318,    20.78903305511 -103.48417360318,    20.78903305511 -103.49378240212"
"segment:  1, 30 =     20.798016527492 -103.48417360318,    20.798016527492 -103.47456480424,    20.78903305511 -103.47456480424,    20.78903305511 -103.48417360318"
"segment:  1, 30 =     20.798016527492 -103.47456480424,    20.798016527492 -103.4649560053,    20.78903305511 -103.4649560053,    20.78903305511 -103.47456480424"
"segment:  1, 30 =     20.798016527492 -103.4649560053,    20.798016527492 -103.45534720636,    20.78903305511 -103.45534720636,    20.78903305511 -103.4649560053"
"segment:  1, 30 =     20.798016527492 -103.45534720636,    20.798016527492 -103.44573840742,    20.78903305511 -103.44573840742,    20.78903305511 -103.45534720636"
"segment:  1, 30 =     20.798016527492 -103.44573840742,    20.798016527492 -103.43612960848,    20.78903305511 -103.43612960848,    20.78903305511 -103.44573840742"
